,all_revisions
2016-12-31 00:00:00+00:00,3
2017-01-31 00:00:00+00:00,12
2017-02-28 00:00:00+00:00,81
2017-03-31 00:00:00+00:00,130
2017-04-30 00:00:00+00:00,15
2017-05-31 00:00:00+00:00,26
2017-06-30 00:00:00+00:00,18
2017-07-31 00:00:00+00:00,12
2017-08-31 00:00:00+00:00,21
2017-09-30 00:00:00+00:00,49
2017-10-31 00:00:00+00:00,14
2017-11-30 00:00:00+00:00,23
2017-12-31 00:00:00+00:00,3
2018-01-31 00:00:00+00:00,230
2018-02-28 00:00:00+00:00,12
2018-03-31 00:00:00+00:00,70
2018-04-30 00:00:00+00:00,16
2018-05-31 00:00:00+00:00,8
2018-06-30 00:00:00+00:00,24
2018-07-31 00:00:00+00:00,124
2018-08-31 00:00:00+00:00,42
2018-09-30 00:00:00+00:00,44
2018-10-31 00:00:00+00:00,13
2018-11-30 00:00:00+00:00,58
2018-12-31 00:00:00+00:00,37
2019-01-31 00:00:00+00:00,100
2019-02-28 00:00:00+00:00,95
2019-03-31 00:00:00+00:00,215
2019-04-30 00:00:00+00:00,68
2019-05-31 00:00:00+00:00,38
2019-06-30 00:00:00+00:00,78
2019-07-31 00:00:00+00:00,17
2019-08-31 00:00:00+00:00,54
2019-09-30 00:00:00+00:00,55
2019-10-31 00:00:00+00:00,251
2019-11-30 00:00:00+00:00,602
2019-12-31 00:00:00+00:00,173
2020-01-31 00:00:00+00:00,307
2020-02-29 00:00:00+00:00,207
2020-03-31 00:00:00+00:00,78
2020-04-30 00:00:00+00:00,42
2020-05-31 00:00:00+00:00,125
2020-06-30 00:00:00+00:00,541
2020-07-31 00:00:00+00:00,165
2020-08-31 00:00:00+00:00,396
2020-09-30 00:00:00+00:00,330
2020-10-31 00:00:00+00:00,964
2020-11-30 00:00:00+00:00,254
2020-12-31 00:00:00+00:00,44
2021-01-31 00:00:00+00:00,33
2021-02-28 00:00:00+00:00,121
2021-03-31 00:00:00+00:00,45
2021-04-30 00:00:00+00:00,198
2021-05-31 00:00:00+00:00,146
2021-06-30 00:00:00+00:00,158
2021-07-31 00:00:00+00:00,948
2021-08-31 00:00:00+00:00,672
2021-09-30 00:00:00+00:00,634
2021-10-31 00:00:00+00:00,443
2021-11-30 00:00:00+00:00,1085
2021-12-31 00:00:00+00:00,505
2022-01-31 00:00:00+00:00,927
2022-02-28 00:00:00+00:00,1154
2022-03-31 00:00:00+00:00,802
2022-04-30 00:00:00+00:00,312
2022-05-31 00:00:00+00:00,459
2022-06-30 00:00:00+00:00,546
2022-07-31 00:00:00+00:00,873
2022-08-31 00:00:00+00:00,694
2022-09-30 00:00:00+00:00,522
2022-10-31 00:00:00+00:00,2430
2022-11-30 00:00:00+00:00,383
2022-12-31 00:00:00+00:00,731
2023-01-31 00:00:00+00:00,1274
2023-02-28 00:00:00+00:00,1787
2023-03-31 00:00:00+00:00,471
2023-04-30 00:00:00+00:00,506
2023-05-31 00:00:00+00:00,427
2023-06-30 00:00:00+00:00,336
2023-07-31 00:00:00+00:00,128
2023-08-31 00:00:00+00:00,364
2023-09-30 00:00:00+00:00,61
2023-10-31 00:00:00+00:00,1048
2023-11-30 00:00:00+00:00,270
2023-12-31 00:00:00+00:00,243
2024-01-31 00:00:00+00:00,271
2024-02-29 00:00:00+00:00,168
2024-03-31 00:00:00+00:00,184
2024-04-30 00:00:00+00:00,106
2024-05-31 00:00:00+00:00,61
2024-06-30 00:00:00+00:00,41
2024-07-31 00:00:00+00:00,438
2024-08-31 00:00:00+00:00,2229
2024-09-30 00:00:00+00:00,52
2024-10-31 00:00:00+00:00,57
2024-11-30 00:00:00+00:00,86
2024-12-31 00:00:00+00:00,71
2025-01-31 00:00:00+00:00,39
2025-02-28 00:00:00+00:00,32
2025-03-31 00:00:00+00:00,14
2025-04-30 00:00:00+00:00,37
2025-05-31 00:00:00+00:00,93
2025-06-30 00:00:00+00:00,143
2025-07-31 00:00:00+00:00,61
2025-08-31 00:00:00+00:00,160
2025-09-30 00:00:00+00:00,21
2025-10-31 00:00:00+00:00,486
2025-11-30 00:00:00+00:00,409
2025-12-31 00:00:00+00:00,81
2026-01-31 00:00:00+00:00,22
2026-02-28 00:00:00+00:00,9
2026-03-31 00:00:00+00:00,10
2026-04-30 00:00:00+00:00,8
