lineage,date,kind,mechanism,age_days
lineage_00243,2022-03-16 19:07:15+00:00,suppression,predicate,258
lineage_00077,2025-12-09 09:11:46+00:00,suppression,predicate,515
lineage_01979,2022-10-05 15:19:48+00:00,suppression,predicate,888
lineage_01854,2025-07-03 09:58:57+00:00,suppression,predicate,905
lineage_02031,2022-07-28 14:58:24+00:00,suppression,predicate,659
lineage_02807,2017-10-29 22:57:39+00:00,suppression,predicate,259
lineage_02243,2025-06-23 09:43:43+00:00,suppression,predicate,516
lineage_02243,2025-07-08 08:29:01+00:00,suppression,predicate,531
lineage_02243,2025-10-18 01:22:22+00:00,suppression,predicate,633
lineage_00531,2022-08-26 16:09:11+00:00,suppression,value,0
lineage_00531,2022-08-29 14:58:12+00:00,suppression,predicate,2
lineage_02634,2025-06-23 09:43:43+00:00,suppression,predicate,328
lineage_02634,2025-07-08 08:29:01+00:00,suppression,value,343
lineage_00902,2022-04-06 15:07:00+00:00,suppression,predicate,890
lineage_00902,2022-06-29 11:20:57+00:00,suppression,predicate,974
lineage_00902,2022-06-30 16:25:31+00:00,suppression,predicate,975
lineage_00902,2022-07-20 11:02:49+00:00,suppression,predicate,995
lineage_00902,2022-07-28 14:58:24+00:00,suppression,predicate,1003
lineage_00902,2022-07-31 11:22:39+00:00,suppression,predicate,1006
lineage_00902,2022-08-12 12:42:52+00:00,suppression,predicate,1018
lineage_00902,2022-08-26 15:29:49+00:00,suppression,predicate,1032
lineage_00902,2022-09-27 10:13:16+00:00,suppression,predicate,1064
lineage_00902,2022-12-14 12:21:54+00:00,suppression,predicate,1142
lineage_00902,2023-02-28 09:22:47+00:00,suppression,predicate,1218
lineage_00902,2023-02-28 11:16:55+00:00,suppression,predicate,1218
lineage_00902,2023-10-04 17:06:57+00:00,suppression,predicate,1436
lineage_00902,2023-10-23 08:35:57+00:00,suppression,value,1455
lineage_00902,2023-11-15 13:27:18+00:00,suppression,predicate,1478
lineage_00902,2023-11-15 13:59:42+00:00,suppression,predicate,1478
lineage_00902,2023-11-15 14:35:43+00:00,suppression,predicate,1478
lineage_00902,2024-01-23 11:15:04+00:00,suppression,predicate,1547
lineage_00902,2024-07-15 13:26:33+00:00,suppression,value,1721
lineage_00902,2025-06-23 09:43:43+00:00,suppression,predicate,2064
lineage_00902,2025-07-08 08:29:01+00:00,suppression,predicate,2079
lineage_03719,2022-08-17 07:19:15+00:00,suppression,predicate,153
lineage_03719,2022-09-29 12:07:38+00:00,suppression,predicate,196
lineage_03719,2023-05-05 15:52:47+00:00,suppression,predicate,415
lineage_03719,2023-06-30 07:39:55+00:00,suppression,predicate,470
lineage_03719,2023-07-05 08:31:47+00:00,suppression,predicate,475
lineage_03719,2023-07-13 08:04:03+00:00,suppression,predicate,483
lineage_03719,2023-10-23 08:35:57+00:00,suppression,predicate,585
lineage_03719,2024-03-06 23:01:03+00:00,suppression,predicate,721
lineage_03719,2025-07-08 08:29:01+00:00,suppression,predicate,1209
lineage_01890,2022-10-31 19:57:22+00:00,suppression,value,7
lineage_01890,2023-04-18 16:05:08+00:00,suppression,predicate,176
lineage_01890,2023-06-13 22:23:28+00:00,suppression,predicate,232
lineage_02019,2022-08-20 15:19:24+00:00,suppression,predicate,0
lineage_02019,2022-09-08 14:28:05+00:00,suppression,predicate,18
lineage_02019,2022-09-18 10:54:37+00:00,suppression,predicate,28
lineage_02019,2022-09-21 11:51:19+00:00,suppression,value,31
lineage_02019,2023-10-04 17:06:57+00:00,suppression,predicate,410
lineage_03909,2022-10-31 19:57:22+00:00,suppression,predicate,112
lineage_03909,2023-04-18 20:47:11+00:00,suppression,predicate,281
lineage_03909,2023-10-04 17:06:57+00:00,suppression,predicate,450
lineage_00468,2021-09-10 17:14:43+00:00,suppression,value,64
lineage_00468,2022-10-31 19:57:22+00:00,suppression,value,480
lineage_00468,2023-04-18 16:05:08+00:00,suppression,predicate,649
lineage_00913,2022-04-09 15:51:01+00:00,suppression,predicate,0
