lineage,version_b,field,class_id,class
lineage_00243,11,_raw,1,process / file / registry content
lineage_00077,6,errorCode,4,system-assigned
lineage_01979,13,errorCode,4,system-assigned
lineage_01979,13,errorMessage,4,system-assigned
lineage_01979,13,responseElements,6,operation parameters
lineage_01854,9,DeviceDetail.trusttype,6,operation parameters
lineage_02031,10,SourceParentImage,1,process / file / registry content
lineage_02807,8,StartModule,1,process / file / registry content
lineage_02243,5,SourceImage,1,process / file / registry content
lineage_02243,5,TargetImage,1,process / file / registry content
lineage_02243,5,SourceImage,1,process / file / registry content
lineage_02243,5,TargetImage,1,process / file / registry content
lineage_02243,5,SourceImage,1,process / file / registry content
lineage_02243,5,TargetImage,1,process / file / registry content
lineage_02243,6,SourceImage,1,process / file / registry content
lineage_02243,6,TargetImage,1,process / file / registry content
lineage_02243,6,SourceImage,1,process / file / registry content
lineage_02243,6,TargetImage,1,process / file / registry content
lineage_02243,6,SourceImage,1,process / file / registry content
lineage_02243,7,SourceImage,1,process / file / registry content
lineage_02243,7,TargetImage,1,process / file / registry content
lineage_00531,2,SourceImage,1,process / file / registry content
lineage_00531,3,SourceImage,1,process / file / registry content
lineage_00531,3,SourceImage,1,process / file / registry content
lineage_00531,3,StartFunction,1,process / file / registry content
lineage_02634,4,SourceImage,1,process / file / registry content
lineage_02634,4,SourceImage,1,process / file / registry content
lineage_02634,5,SourceImage,1,process / file / registry content
lineage_02634,5,SourceImage,1,process / file / registry content
lineage_00902,15,SourceImage,1,process / file / registry content
lineage_00902,15,StartFunction,1,process / file / registry content
lineage_00902,15,StartModule,1,process / file / registry content
lineage_00902,15,TargetImage,1,process / file / registry content
lineage_00902,19,SourceImage,1,process / file / registry content
lineage_00902,19,TargetParentProcessId,4,system-assigned
lineage_00902,20,SourceImage,1,process / file / registry content
lineage_00902,20,TargetImage,1,process / file / registry content
lineage_00902,22,SourceParentImage,1,process / file / registry content
lineage_00902,23,SourceParentImage,1,process / file / registry content
lineage_00902,24,TargetImage,1,process / file / registry content
lineage_00902,24,SourceImage,1,process / file / registry content
lineage_00902,24,TargetImage,1,process / file / registry content
lineage_00902,25,SourceParentImage,1,process / file / registry content
lineage_00902,26,SourceImage,1,process / file / registry content
lineage_00902,26,TargetImage,1,process / file / registry content
lineage_00902,28,SourceImage,1,process / file / registry content
lineage_00902,28,TargetImage,1,process / file / registry content
lineage_00902,30,SourceImage,1,process / file / registry content
lineage_00902,30,TargetImage,1,process / file / registry content
lineage_00902,33,TargetParentImage,1,process / file / registry content
lineage_00902,34,TargetParentProcessId,4,system-assigned
lineage_00902,38,TargetImage,1,process / file / registry content
lineage_00902,40,SourceImage,1,process / file / registry content
lineage_00902,40,SourceImage,1,process / file / registry content
lineage_00902,40,TargetImage,1,process / file / registry content
lineage_00902,40,SourceImage,1,process / file / registry content
lineage_00902,40,TargetImage,1,process / file / registry content
lineage_00902,40,SourceImage,1,process / file / registry content
lineage_00902,40,TargetImage,1,process / file / registry content
lineage_00902,40,SourceImage,1,process / file / registry content
lineage_00902,40,TargetImage,1,process / file / registry content
lineage_00902,41,TargetImage,1,process / file / registry content
lineage_00902,41,TargetImage,1,process / file / registry content
lineage_00902,41,SourceImage,1,process / file / registry content
lineage_00902,41,TargetImage,1,process / file / registry content
lineage_00902,43,TargetImage,1,process / file / registry content
lineage_00902,43,TargetImage,1,process / file / registry content
lineage_00902,43,SourceImage,1,process / file / registry content
lineage_00902,43,TargetImage,1,process / file / registry content
lineage_00902,45,TargetImage,1,process / file / registry content
lineage_00902,45,TargetImage,1,process / file / registry content
lineage_00902,45,SourceImage,1,process / file / registry content
lineage_00902,45,TargetImage,1,process / file / registry content
lineage_00902,46,SourceCommandLine,1,process / file / registry content
lineage_00902,46,SourceCommandLine,1,process / file / registry content
lineage_00902,46,SourceCommandLine,1,process / file / registry content
lineage_00902,46,SourceCommandLine,1,process / file / registry content
lineage_00902,46,SourceImage,1,process / file / registry content
lineage_00902,46,SourceParentImage,1,process / file / registry content
lineage_00902,46,SourceParentImage,1,process / file / registry content
lineage_00902,46,SourceParentImage,1,process / file / registry content
lineage_00902,46,SourceImage,1,process / file / registry content
lineage_00902,47,SourceImage,1,process / file / registry content
lineage_00902,47,TargetImage,1,process / file / registry content
lineage_00902,47,SourceParentImage,1,process / file / registry content
lineage_00902,47,TargetImage,1,process / file / registry content
lineage_00902,47,SourceImage,1,process / file / registry content
lineage_00902,47,TargetImage,1,process / file / registry content
lineage_00902,47,SourceImage,1,process / file / registry content
lineage_00902,47,TargetImage,1,process / file / registry content
lineage_00902,47,SourceImage,1,process / file / registry content
lineage_00902,47,TargetImage,1,process / file / registry content
lineage_00902,47,TargetImage,1,process / file / registry content
lineage_00902,50,TargetImage,1,process / file / registry content
lineage_00902,50,TargetImage,1,process / file / registry content
lineage_00902,51,TargetImage,1,process / file / registry content
lineage_00902,51,TargetImage,1,process / file / registry content
lineage_00902,51,TargetImage,1,process / file / registry content
lineage_00902,51,TargetImage,1,process / file / registry content
lineage_00902,51,TargetImage,1,process / file / registry content
lineage_00902,51,SourceImage,1,process / file / registry content
lineage_00902,51,TargetImage,1,process / file / registry content
lineage_00902,51,TargetImage,1,process / file / registry content
lineage_03719,6,StartFunction,1,process / file / registry content
lineage_03719,8,SourceImage,1,process / file / registry content
lineage_03719,11,SourceImage,1,process / file / registry content
lineage_03719,11,TargetImage,1,process / file / registry content
lineage_03719,11,SourceImage,1,process / file / registry content
lineage_03719,12,TargetImage,1,process / file / registry content
lineage_03719,13,SourceImage,1,process / file / registry content
lineage_03719,13,TargetImage,1,process / file / registry content
lineage_03719,14,SourceImage,1,process / file / registry content
lineage_03719,14,StartFunction,1,process / file / registry content
lineage_03719,14,TargetImage,1,process / file / registry content
lineage_03719,14,SourceImage,1,process / file / registry content
lineage_03719,14,StartFunction,1,process / file / registry content
lineage_03719,16,SourceImage,1,process / file / registry content
lineage_03719,16,StartFunction,1,process / file / registry content
lineage_03719,16,TargetImage,1,process / file / registry content
lineage_03719,16,SourceImage,1,process / file / registry content
lineage_03719,16,TargetImage,1,process / file / registry content
lineage_03719,16,SourceImage,1,process / file / registry content
lineage_03719,16,StartFunction,1,process / file / registry content
lineage_03719,16,SourceImage,1,process / file / registry content
lineage_03719,18,SourceImage,1,process / file / registry content
lineage_03719,18,StartFunction,1,process / file / registry content
lineage_03719,18,TargetImage,1,process / file / registry content
lineage_03719,23,SourceImage,1,process / file / registry content
lineage_03719,23,TargetImage,1,process / file / registry content
lineage_03719,23,SourceImage,1,process / file / registry content
lineage_03719,23,TargetImage,1,process / file / registry content
lineage_01890,3,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,4,Image,1,process / file / registry content
lineage_01890,5,Image,1,process / file / registry content
lineage_01890,5,Image,1,process / file / registry content
lineage_01890,5,TargetFilename,1,process / file / registry content
lineage_01890,5,TargetFilename,1,process / file / registry content
lineage_01890,5,TargetFilename,1,process / file / registry content
lineage_01890,5,TargetFilename,1,process / file / registry content
lineage_02019,2,Image,1,process / file / registry content
lineage_02019,2,Image,1,process / file / registry content
lineage_02019,2,Image,1,process / file / registry content
lineage_02019,4,Image,1,process / file / registry content
lineage_02019,5,Image,1,process / file / registry content
lineage_02019,6,Image,1,process / file / registry content
lineage_02019,9,Image,1,process / file / registry content
lineage_02019,9,Image,1,process / file / registry content
lineage_02019,9,Image,1,process / file / registry content
lineage_03909,5,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,10,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_03909,13,Image,1,process / file / registry content
lineage_00468,3,Image,1,process / file / registry content
lineage_00468,8,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00468,12,Image,1,process / file / registry content
lineage_00913,2,ParentImage,1,process / file / registry content
lineage_00913,2,TargetFilename,1,process / file / registry content
lineage_00913,7,CommandLine,1,process / file / registry content
lineage_00913,7,Image,1,process / file / registry content
lineage_00913,8,Image,1,process / file / registry content
lineage_00913,8,ParentImage,1,process / file / registry content
lineage_00913,9,Image,1,process / file / registry content
lineage_00913,11,Image,1,process / file / registry content
lineage_00913,11,ParentImage,1,process / file / registry content
lineage_00913,12,Image,1,process / file / registry content
lineage_00913,12,ParentImage,1,process / file / registry content
lineage_00913,16,Image,1,process / file / registry content
lineage_00913,16,Image,1,process / file / registry content
lineage_00913,16,Image,1,process / file / registry content
lineage_00913,16,Image,1,process / file / registry content
lineage_02935,3,Image,1,process / file / registry content
lineage_02935,3,Image,1,process / file / registry content
lineage_02020,3,Image,1,process / file / registry content
lineage_02020,3,TargetFilename,1,process / file / registry content
lineage_02020,3,TargetFilename,1,process / file / registry content
lineage_02020,9,Image,1,process / file / registry content
lineage_02020,9,Image,1,process / file / registry content
lineage_02020,9,TargetFilename,1,process / file / registry content
lineage_02020,15,Image,1,process / file / registry content
lineage_02020,15,Image,1,process / file / registry content
lineage_02020,15,Image,1,process / file / registry content
lineage_02020,15,Image,1,process / file / registry content
lineage_02020,15,Image,1,process / file / registry content
lineage_02020,15,Image,1,process / file / registry content
lineage_02020,15,TargetFilename,1,process / file / registry content
lineage_00310,4,User,3,account identity
lineage_00173,9,TargetFilename,1,process / file / registry content
lineage_02632,2,Image,1,process / file / registry content
lineage_02632,3,Image,1,process / file / registry content
lineage_02632,3,Image,1,process / file / registry content
lineage_02632,3,Image,1,process / file / registry content
lineage_02632,6,Image,1,process / file / registry content
lineage_02675,2,TargetFilename,1,process / file / registry content
lineage_03451,9,Image,1,process / file / registry content
lineage_03451,14,Image,1,process / file / registry content
lineage_03451,17,Image,1,process / file / registry content
lineage_03451,19,_raw,1,process / file / registry content
lineage_03451,22,Image,1,process / file / registry content
lineage_03451,24,Image,1,process / file / registry content
lineage_03451,25,Image,1,process / file / registry content
lineage_03451,28,Image,1,process / file / registry content
lineage_03451,30,Image,1,process / file / registry content
lineage_03451,30,Image,1,process / file / registry content
lineage_03451,30,Image,1,process / file / registry content
lineage_03451,30,Image,1,process / file / registry content
lineage_03451,30,Image,1,process / file / registry content
lineage_03451,30,Image,1,process / file / registry content
lineage_00933,6,Image,1,process / file / registry content
lineage_00933,6,TargetFilename,1,process / file / registry content
lineage_00933,6,TargetFilename,1,process / file / registry content
lineage_01489,2,Image,1,process / file / registry content
lineage_01489,4,Image,1,process / file / registry content
lineage_01489,10,Image,1,process / file / registry content
lineage_01489,10,TargetFileName,1,process / file / registry content
lineage_02396,10,Image,1,process / file / registry content
lineage_02396,12,Image,1,process / file / registry content
lineage_02396,12,TargetFilename,1,process / file / registry content
lineage_02396,15,Image,1,process / file / registry content
lineage_02396,15,TargetFilename,1,process / file / registry content
lineage_02396,16,Image,1,process / file / registry content
lineage_02396,18,Image,1,process / file / registry content
lineage_02396,18,TargetFilename,1,process / file / registry content
lineage_02396,18,TargetFilename,1,process / file / registry content
lineage_02396,20,Image,1,process / file / registry content
lineage_02396,24,TargetFilename,1,process / file / registry content
lineage_02396,26,Image,1,process / file / registry content
lineage_02396,27,Image,1,process / file / registry content
lineage_02396,27,TargetFilename,1,process / file / registry content
lineage_02396,29,TargetFilename,1,process / file / registry content
lineage_02396,30,TargetFilename,1,process / file / registry content
lineage_02396,30,Image,1,process / file / registry content
lineage_02396,31,TargetFilename,1,process / file / registry content
lineage_02396,32,Image,1,process / file / registry content
lineage_02396,32,TargetFilename,1,process / file / registry content
lineage_02396,32,TargetFilename,1,process / file / registry content
lineage_02396,34,TargetFilename,1,process / file / registry content
lineage_02396,35,Image,1,process / file / registry content
lineage_02396,35,Image,1,process / file / registry content
lineage_02396,40,Image,1,process / file / registry content
lineage_02396,40,TargetFilename,1,process / file / registry content
lineage_02396,40,Image,1,process / file / registry content
lineage_02396,40,TargetFilename,1,process / file / registry content
lineage_02396,40,Image,1,process / file / registry content
lineage_02396,43,Image,1,process / file / registry content
lineage_02396,43,TargetFilename,1,process / file / registry content
lineage_02396,43,Image,1,process / file / registry content
lineage_00103,8,AccessList,6,operation parameters
lineage_00103,15,Image,1,process / file / registry content
lineage_00103,15,TargetFilename,1,process / file / registry content
lineage_00103,16,TargetFilename,1,process / file / registry content
lineage_00103,21,Image,1,process / file / registry content
lineage_00103,21,Image,1,process / file / registry content
lineage_02582,12,TargetFilename,1,process / file / registry content
lineage_02582,12,TargetFilename,1,process / file / registry content
lineage_02582,12,TargetFilename,1,process / file / registry content
lineage_02582,15,TargetFilename,1,process / file / registry content
lineage_02582,15,TargetFilename,1,process / file / registry content
lineage_02582,15,TargetFilename,1,process / file / registry content
lineage_01985,3,TargetFilename,1,process / file / registry content
lineage_01985,6,TargetFilename,1,process / file / registry content
lineage_04382,5,CommandLine,1,process / file / registry content
lineage_04382,5,CommandLine,1,process / file / registry content
lineage_04382,5,Image,1,process / file / registry content
lineage_04382,5,ParentCommandLine,1,process / file / registry content
lineage_04382,5,ParentImage,1,process / file / registry content
lineage_03299,2,TargetFilename,1,process / file / registry content
lineage_03299,4,TargetFilename,1,process / file / registry content
lineage_03299,8,TargetFilename,1,process / file / registry content
lineage_03523,2,Image,1,process / file / registry content
lineage_03523,2,Image,1,process / file / registry content
lineage_03523,2,Image,1,process / file / registry content
lineage_03523,4,Image,1,process / file / registry content
lineage_03523,12,Image,1,process / file / registry content
lineage_03523,12,Image,1,process / file / registry content
lineage_03523,12,TargetFilename,1,process / file / registry content
lineage_00050,6,Image,1,process / file / registry content
lineage_00050,6,Image,1,process / file / registry content
lineage_00022,16,TargetFilename,1,process / file / registry content
lineage_00022,16,TargetFilename,1,process / file / registry content
lineage_00022,16,TargetFilename,1,process / file / registry content
lineage_00022,16,TargetFilename,1,process / file / registry content
lineage_00022,18,Image,1,process / file / registry content
lineage_00022,18,TargetFilename,1,process / file / registry content
lineage_00022,18,TargetFilename,1,process / file / registry content
lineage_00022,18,TargetFilename,1,process / file / registry content
lineage_00022,18,TargetFilename,1,process / file / registry content
lineage_00022,28,TargetFilename,1,process / file / registry content
lineage_01585,2,TargetFilename,1,process / file / registry content
lineage_01585,10,Image,1,process / file / registry content
lineage_01585,10,Image,1,process / file / registry content
lineage_01585,10,TargetFilename,1,process / file / registry content
lineage_02157,9,TargetFilename,1,process / file / registry content
lineage_02157,9,TargetFilename,1,process / file / registry content
lineage_02157,15,Image,1,process / file / registry content
lineage_02157,15,TargetFilename,1,process / file / registry content
lineage_02157,15,TargetFilename,1,process / file / registry content
lineage_02157,15,TargetFilename,1,process / file / registry content
lineage_01420,2,TargetFilename,1,process / file / registry content
lineage_01420,6,TargetFilename,1,process / file / registry content
lineage_01420,7,TargetFilename,1,process / file / registry content
lineage_01420,7,TargetFilename,1,process / file / registry content
lineage_01420,7,TargetFilename,1,process / file / registry content
lineage_01420,7,TargetFilename,1,process / file / registry content
lineage_03532,2,Image,1,process / file / registry content
lineage_03532,3,Image,1,process / file / registry content
lineage_03532,6,Image,1,process / file / registry content
lineage_03123,2,Image,1,process / file / registry content
lineage_03123,3,Image,1,process / file / registry content
lineage_03123,4,Image,1,process / file / registry content
lineage_03123,7,Image,1,process / file / registry content
lineage_03123,7,Image,1,process / file / registry content
lineage_03123,7,Image,1,process / file / registry content
lineage_03123,7,Image,1,process / file / registry content
lineage_00392,12,Image,1,process / file / registry content
lineage_00392,12,TargetFilename,1,process / file / registry content
lineage_00392,12,TargetFilename,1,process / file / registry content
lineage_00392,13,TargetFilename,1,process / file / registry content
lineage_00392,13,TargetFilename,1,process / file / registry content
lineage_00392,14,Image,1,process / file / registry content
lineage_00392,14,TargetFilename,1,process / file / registry content
lineage_00392,14,TargetFilename,1,process / file / registry content
lineage_00392,14,TargetFilename,1,process / file / registry content
lineage_00392,14,TargetFilename,1,process / file / registry content
lineage_00392,14,TargetFilename,1,process / file / registry content
lineage_00392,16,TargetFilename,1,process / file / registry content
lineage_00392,16,TargetFilename,1,process / file / registry content
lineage_00392,17,Image,1,process / file / registry content
lineage_00392,17,TargetFilename,1,process / file / registry content
lineage_01812,9,Image,1,process / file / registry content
lineage_01812,11,TargetFilename,1,process / file / registry content
lineage_01812,17,Image,1,process / file / registry content
lineage_01812,17,TargetFilename,1,process / file / registry content
lineage_01812,19,Image,1,process / file / registry content
lineage_01812,19,TargetFilename,1,process / file / registry content
lineage_03092,2,Image,1,process / file / registry content
lineage_03092,2,Image,1,process / file / registry content
lineage_03092,2,Image,1,process / file / registry content
lineage_03092,2,TargetFilename,1,process / file / registry content
lineage_03092,2,Image,1,process / file / registry content
lineage_03092,4,Image,1,process / file / registry content
lineage_03092,5,Image,1,process / file / registry content
lineage_03092,5,Image,1,process / file / registry content
lineage_03092,6,TargetFilename,1,process / file / registry content
lineage_03092,8,TargetFilename,1,process / file / registry content
lineage_03092,10,Image,1,process / file / registry content
lineage_03092,11,Image,1,process / file / registry content
lineage_03092,15,Image,1,process / file / registry content
lineage_03092,15,Image,1,process / file / registry content
lineage_03092,15,TargetFilename,1,process / file / registry content
lineage_03092,15,TargetFilename,1,process / file / registry content
lineage_03092,16,Image,1,process / file / registry content
lineage_03092,16,Image,1,process / file / registry content
lineage_03092,16,TargetFileName,1,process / file / registry content
lineage_03092,16,Image,1,process / file / registry content
lineage_03092,16,Image,1,process / file / registry content
lineage_03092,16,TargetFileName,1,process / file / registry content
lineage_03092,16,TargetFilename,1,process / file / registry content
lineage_03092,16,Image,1,process / file / registry content
lineage_03092,16,TargetFileName,1,process / file / registry content
lineage_03092,16,TargetFileName,1,process / file / registry content
lineage_03092,20,Image,1,process / file / registry content
lineage_03092,20,Image,1,process / file / registry content
lineage_03092,20,TargetFilename,1,process / file / registry content
lineage_03092,21,Image,1,process / file / registry content
lineage_03092,21,TargetFilename,1,process / file / registry content
lineage_03092,22,TargetFilename,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,27,Image,1,process / file / registry content
lineage_03092,27,TargetFilename,1,process / file / registry content
lineage_03092,31,Image,1,process / file / registry content
lineage_02705,13,TargetFilename,1,process / file / registry content
lineage_04244,3,TargetFilename,1,process / file / registry content
lineage_04244,4,Image,1,process / file / registry content
lineage_04244,4,TargetFilename,1,process / file / registry content
lineage_04244,4,Image,1,process / file / registry content
lineage_04244,4,TargetFilename,1,process / file / registry content
lineage_04244,4,Image,1,process / file / registry content
lineage_04244,4,TargetFilename,1,process / file / registry content
lineage_04244,4,TargetFilename,1,process / file / registry content
lineage_04244,5,Image,1,process / file / registry content
lineage_04244,5,TargetFilename,1,process / file / registry content
lineage_04244,5,TargetFilename,1,process / file / registry content
lineage_04678,2,Image,1,process / file / registry content
lineage_04678,3,Image,1,process / file / registry content
lineage_04381,2,Image,1,process / file / registry content
lineage_02869,2,Image,1,process / file / registry content
lineage_00856,9,TargetFilename,1,process / file / registry content
lineage_00856,21,Image,1,process / file / registry content
lineage_00856,26,TargetFilename,1,process / file / registry content
lineage_03456,7,TargetFilename,1,process / file / registry content
lineage_03456,9,TargetFilename,1,process / file / registry content
lineage_02755,3,OriginalFilename,1,process / file / registry content
lineage_02755,4,OriginalFilename,1,process / file / registry content
lineage_02755,4,OriginalFilename,1,process / file / registry content
lineage_02755,5,OriginalFilename,1,process / file / registry content
lineage_02755,6,Image,1,process / file / registry content
lineage_02755,6,Image,1,process / file / registry content
lineage_02755,6,OriginalFilename,1,process / file / registry content
lineage_02755,7,OriginalFilename,1,process / file / registry content
lineage_02755,14,Image,1,process / file / registry content
lineage_02755,15,TargetFilename,1,process / file / registry content
lineage_02755,18,OriginalFilename,1,process / file / registry content
lineage_02755,19,Image,1,process / file / registry content
lineage_02755,26,Image,1,process / file / registry content
lineage_02755,26,Image,1,process / file / registry content
lineage_02755,26,Image,1,process / file / registry content
lineage_02755,26,SourceFilename,1,process / file / registry content
lineage_02755,26,SourceFilename,1,process / file / registry content
lineage_02755,26,TargetFilename,1,process / file / registry content
lineage_02755,26,SourceFilename,1,process / file / registry content
lineage_02755,28,Image,1,process / file / registry content
lineage_02755,28,Image,1,process / file / registry content
lineage_02755,28,Image,1,process / file / registry content
lineage_02755,28,SourceFilename,1,process / file / registry content
lineage_02755,28,SourceFilename,1,process / file / registry content
lineage_02755,28,TargetFilename,1,process / file / registry content
lineage_02755,28,SourceFilename,1,process / file / registry content
lineage_02755,30,Image,1,process / file / registry content
lineage_02755,30,Image,1,process / file / registry content
lineage_02755,30,Image,1,process / file / registry content
lineage_02755,30,SourceFilename,1,process / file / registry content
lineage_02755,30,SourceFilename,1,process / file / registry content
lineage_02755,30,TargetFilename,1,process / file / registry content
lineage_02755,30,SourceFilename,1,process / file / registry content
lineage_03025,3,TargetFilename,1,process / file / registry content
lineage_03025,12,TargetFilename,1,process / file / registry content
lineage_03025,13,TargetFilename,1,process / file / registry content
lineage_03025,13,TargetFilename,1,process / file / registry content
lineage_02133,12,Image,1,process / file / registry content
lineage_02133,13,Image,1,process / file / registry content
lineage_02133,14,Image,1,process / file / registry content
lineage_02133,15,Image,1,process / file / registry content
lineage_02133,19,Provider_Name,4,system-assigned
lineage_02133,21,Image,1,process / file / registry content
lineage_00620,2,Image,1,process / file / registry content
lineage_00620,8,Image,1,process / file / registry content
lineage_02306,10,Image,1,process / file / registry content
lineage_02306,11,Image,1,process / file / registry content
lineage_02306,12,Image,1,process / file / registry content
lineage_02306,12,Image,1,process / file / registry content
lineage_02306,14,Image,1,process / file / registry content
lineage_02306,18,CommandLine,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,22,Image,1,process / file / registry content
lineage_02306,23,Image,1,process / file / registry content
lineage_02306,23,Image,1,process / file / registry content
lineage_02306,23,Image,1,process / file / registry content
lineage_01902,5,Image,1,process / file / registry content
lineage_01902,6,Image,1,process / file / registry content
lineage_01902,8,Image,1,process / file / registry content
lineage_01902,9,Image,1,process / file / registry content
lineage_01902,9,Image,1,process / file / registry content
lineage_01902,11,Image,1,process / file / registry content
lineage_01902,11,Image,1,process / file / registry content
