lineage,suppressed_on,days,removed,min_coverage,group
lineage_00243,2022-03-16,1485.2,0,26.0,redundant
lineage_00077,2025-12-09,121.6,0,2.0,redundant
lineage_01979,2022-10-05,1282.4,0,3.0,redundant
lineage_01854,2025-07-03,280.6,0,18.0,redundant
lineage_02031,2022-07-28,1351.4,0,173.0,redundant
lineage_02807,2017-10-29,997.6,1,57.0,redundant
lineage_02243,2025-06-23,290.6,0,26.0,redundant
lineage_02243,2025-07-08,275.6,0,26.0,redundant
lineage_02243,2025-10-18,173.9,0,26.0,redundant
lineage_02243,2025-12-09,121.9,0,26.0,redundant
lineage_00531,2022-08-29,1319.4,0,,untagged
lineage_02634,2025-06-23,290.6,0,26.0,redundant
lineage_00902,2022-04-06,1464.4,0,26.0,redundant
lineage_00902,2022-06-29,1380.5,0,26.0,redundant
lineage_00902,2022-06-30,1379.3,0,26.0,redundant
lineage_00902,2022-07-20,1359.5,0,26.0,redundant
lineage_00902,2022-07-28,1351.4,0,26.0,redundant
lineage_00902,2022-07-31,1348.5,0,26.0,redundant
lineage_00902,2022-08-12,1336.5,0,26.0,redundant
lineage_00902,2022-09-27,1290.6,0,26.0,redundant
lineage_00902,2022-12-14,142.1,1,26.0,redundant
lineage_00902,2023-02-28,66.3,1,26.0,redundant
lineage_00902,2023-02-28,66.2,1,26.0,redundant
lineage_00902,2023-10-04,18.6,1,26.0,redundant
lineage_00902,2023-11-15,876.4,0,26.0,redundant
lineage_00902,2024-01-23,807.5,0,26.0,redundant
lineage_00902,2025-06-23,290.6,0,26.0,redundant
lineage_00902,2025-07-08,275.6,0,26.0,redundant
lineage_03719,2022-08-17,1331.7,0,2.0,redundant
lineage_03719,2022-09-29,1288.5,0,2.0,redundant
lineage_03719,2023-05-05,1070.3,0,2.0,redundant
lineage_03719,2023-06-30,1014.7,0,2.0,redundant
lineage_03719,2023-07-05,8.0,1,2.0,redundant
lineage_03719,2023-10-23,92.1,1,2.0,redundant
lineage_03719,2024-03-06,764.0,0,2.0,redundant
lineage_03719,2025-07-08,275.6,0,2.0,redundant
lineage_01890,2023-04-18,1087.3,0,,untagged
lineage_01890,2023-06-13,1031.1,0,,untagged
lineage_02019,2022-08-20,1328.4,0,14.0,redundant
lineage_02019,2022-09-08,1309.4,0,14.0,redundant
lineage_02019,2022-09-18,1299.5,0,14.0,redundant
lineage_02019,2023-10-04,918.3,0,14.0,redundant
lineage_03909,2022-10-31,1256.2,0,19.0,redundant
lineage_03909,2023-04-18,1087.1,0,19.0,redundant
lineage_03909,2023-10-04,918.3,0,19.0,redundant
lineage_00468,2023-04-18,1087.3,0,2.0,redundant
lineage_00913,2022-04-09,82.0,1,20.0,redundant
lineage_00913,2022-06-18,12.4,1,20.0,redundant
lineage_00913,2022-06-29,1.2,1,20.0,redundant
lineage_00913,2022-07-06,1373.4,0,20.0,redundant
lineage_00913,2022-07-27,1352.6,0,20.0,redundant
lineage_00913,2023-02-17,307.1,1,20.0,redundant
lineage_02935,2024-07-31,617.6,0,5.0,redundant
lineage_02020,2022-09-06,1311.5,0,6.0,redundant
lineage_02020,2022-10-25,1262.4,0,6.0,redundant
lineage_02020,2026-01-29,70.6,0,6.0,redundant
lineage_00173,2022-09-21,1296.6,0,11.0,redundant
lineage_02632,2024-04-26,713.4,0,11.0,redundant
lineage_02632,2025-07-08,275.6,0,11.0,redundant
lineage_03451,2022-03-26,1475.4,0,1.0,singleton
lineage_03451,2022-04-21,1449.6,0,1.0,singleton
lineage_03451,2022-08-16,1332.4,0,1.0,singleton
lineage_03451,2023-01-12,1183.3,0,1.0,singleton
lineage_03451,2023-10-23,899.6,0,1.0,singleton
lineage_00933,2023-02-13,1151.0,0,11.0,redundant
lineage_01489,2022-01-08,1552.4,0,4.0,redundant
lineage_01489,2022-11-08,1248.5,0,4.0,redundant
lineage_02396,2021-05-16,1789.4,0,10.0,redundant
lineage_02396,2021-10-28,1624.5,0,10.0,redundant
lineage_02396,2022-02-07,1522.3,0,10.0,redundant
lineage_02396,2022-07-06,1373.4,0,10.0,redundant
lineage_02396,2022-07-27,1352.7,0,10.0,redundant
lineage_02396,2022-10-28,515.1,1,10.0,redundant
lineage_02396,2022-11-08,504.3,1,10.0,redundant
lineage_02396,2023-01-24,427.1,1,10.0,redundant
lineage_02396,2023-03-23,369.3,1,10.0,redundant
lineage_02396,2023-11-10,137.1,1,10.0,redundant
lineage_02396,2025-12-09,121.9,0,10.0,redundant
lineage_00103,2022-09-21,1296.6,0,2.0,redundant
lineage_00103,2022-10-07,1280.1,0,2.0,redundant
lineage_00103,2025-12-09,121.9,0,2.0,redundant
lineage_02582,2022-06-17,1.2,1,6.0,redundant
lineage_02582,2022-10-13,1274.5,0,6.0,redundant
lineage_04382,2023-02-23,1141.5,0,87.0,redundant
lineage_03523,2022-06-10,1399.2,0,,untagged
lineage_03523,2025-09-22,199.6,0,,untagged
lineage_00050,2023-10-04,918.3,0,,untagged
lineage_00022,2022-02-09,1520.3,0,22.0,redundant
lineage_00022,2022-03-02,1499.4,0,22.0,redundant
lineage_00022,2025-10-17,174.9,0,22.0,redundant
lineage_01585,2022-06-06,1403.2,0,9.0,redundant
lineage_02157,2022-07-07,1372.3,0,4.0,redundant
lineage_02157,2025-10-29,162.6,0,4.0,redundant
lineage_01420,2023-05-15,1060.4,0,,untagged
lineage_01420,2025-07-08,275.6,0,,untagged
lineage_03532,2025-10-09,182.5,0,,untagged
lineage_03123,2025-10-09,182.5,0,,untagged
lineage_00392,2024-04-03,736.7,0,31.0,redundant
lineage_00392,2024-04-05,734.7,0,31.0,redundant
lineage_00392,2024-04-15,724.5,0,31.0,redundant
lineage_00392,2025-08-14,238.5,0,31.0,redundant
lineage_00392,2025-10-09,182.5,0,31.0,redundant
lineage_01812,2022-07-27,1352.7,0,32.0,redundant
lineage_01812,2022-10-07,1280.1,0,32.0,redundant
lineage_01812,2025-10-17,174.9,0,32.0,redundant
lineage_03092,2022-03-13,1488.2,0,9.0,redundant
lineage_03092,2022-03-29,1472.3,0,9.0,redundant
lineage_03092,2022-04-17,1453.7,0,9.0,redundant
lineage_03092,2022-04-19,1451.3,0,9.0,redundant
lineage_03092,2022-04-28,9.6,1,9.0,redundant
lineage_03092,2022-11-03,1253.6,0,9.0,redundant
lineage_03092,2022-11-08,1248.5,0,9.0,redundant
lineage_03092,2022-12-07,1219.5,0,9.0,redundant
lineage_03092,2023-01-18,8.2,1,9.0,redundant
lineage_03092,2023-11-06,885.4,0,9.0,redundant
lineage_02705,2026-03-31,9.3,0,3.0,redundant
lineage_04244,2023-03-29,1107.8,0,3.0,redundant
lineage_04244,2023-05-15,1060.4,0,3.0,redundant
lineage_04678,2025-05-12,332.5,0,,untagged
lineage_04678,2025-12-09,121.9,0,,untagged
lineage_00856,2020-05-18,2152.5,0,26.0,redundant
lineage_00856,2022-05-24,116.7,1,26.0,redundant
lineage_02755,2022-03-07,1494.4,0,1.0,singleton
lineage_02755,2022-03-13,1488.2,0,1.0,singleton
lineage_02755,2022-10-07,1280.2,0,1.0,singleton
lineage_02755,2022-10-07,1280.1,0,1.0,singleton
lineage_02755,2022-10-15,1272.6,0,1.0,singleton
lineage_02755,2023-11-15,876.4,0,1.0,singleton
lineage_03025,2022-09-21,1296.6,0,8.0,redundant
lineage_02133,2021-12-04,1587.6,0,,untagged
lineage_02133,2022-11-22,1235.0,0,,untagged
lineage_02306,2022-01-06,1554.2,0,44.0,redundant
lineage_02306,2022-10-18,3.0,1,44.0,redundant
lineage_02306,2023-04-03,1102.6,0,44.0,redundant
lineage_02306,2023-04-18,1087.3,0,44.0,redundant
lineage_01902,2021-11-16,1605.1,0,3.0,redundant
lineage_01902,2021-11-29,1592.6,0,3.0,redundant
lineage_01902,2022-05-02,1438.4,0,3.0,redundant
lineage_01902,2022-08-13,1335.7,0,3.0,redundant
lineage_01902,2022-09-20,1297.6,0,3.0,redundant
lineage_01902,2022-10-07,1280.4,0,3.0,redundant
lineage_01902,2022-10-24,1263.5,0,3.0,redundant
lineage_02265,2021-11-29,445.1,1,57.0,redundant
lineage_02265,2022-08-09,192.3,1,57.0,redundant
lineage_02265,2024-03-11,759.3,0,57.0,redundant
lineage_03162,2025-12-09,121.9,0,8.0,redundant
lineage_01336,2021-11-27,453.1,1,3.0,redundant
lineage_01336,2021-12-02,1.3,1,3.0,redundant
lineage_01336,2022-08-13,194.2,1,3.0,redundant
lineage_03018,2021-11-27,1594.4,0,173.0,redundant
lineage_03018,2022-02-21,1508.3,0,173.0,redundant
lineage_03018,2022-04-21,1449.6,0,173.0,redundant
lineage_03018,2023-05-31,1044.4,0,173.0,redundant
lineage_03018,2024-01-23,807.5,0,173.0,redundant
lineage_03018,2025-10-09,182.5,0,173.0,redundant
lineage_02731,2022-07-27,1352.7,0,18.0,redundant
lineage_02731,2022-10-31,1256.2,0,18.0,redundant
lineage_02185,2023-02-17,1147.3,0,18.0,redundant
lineage_02185,2023-02-17,1147.1,0,18.0,redundant
lineage_02185,2025-10-09,182.5,0,18.0,redundant
lineage_01780,2023-02-17,1147.1,0,18.0,redundant
lineage_01780,2025-10-09,182.5,0,18.0,redundant
lineage_01780,2025-12-09,121.9,0,18.0,redundant
lineage_00326,2022-02-04,1525.6,0,,untagged
lineage_00411,2022-09-21,1296.5,0,44.0,redundant
lineage_00411,2022-10-13,1274.6,0,44.0,redundant
lineage_00411,2025-10-09,182.5,0,44.0,redundant
lineage_00306,2023-05-05,1070.3,0,44.0,redundant
lineage_00306,2025-10-09,182.5,0,44.0,redundant
lineage_02981,2023-05-05,1070.3,0,44.0,redundant
lineage_02981,2025-10-09,182.5,0,44.0,redundant
lineage_03007,2024-08-07,5.1,1,44.0,redundant
lineage_04100,2022-08-15,1333.5,0,44.0,redundant
lineage_04100,2022-08-24,1325.0,0,44.0,redundant
lineage_04100,2022-09-20,1297.6,0,44.0,redundant
lineage_04100,2022-09-28,1289.6,0,44.0,redundant
